"type","AvgRating","TotCount"
"Cupcakes",5,1
"HomeDecor",5,1
"KidsActivities",5,1
"Landmarks&HistoricalBuildings",5,1
"ShoppingCenters",5,1
"ArtGalleries",4.83333333333333,3
"Distilleries",4.75,2
"Parks",4.75,2
"JuiceBars&Smoothies",4.54545454545455,11
"Argentine",4.5,1
"Bed&Breakfast",4.5,1
"Bookstores",4.5,1
"Brewpubs",4.5,1
"British",4.5,2
"Burmese",4.5,1
"Butcher",4.5,2
"Cideries",4.5,1
"Colombian",4.5,1
"CookingClasses",4.5,1
"Empanadas",4.5,1
"Florists",4.5,1
"GiftShops",4.5,1
"Hawaiian",4.5,1
"HealthMarkets",4.5,1
"Herbs&Spices",4.5,1
